# ell C_ell
1.300000e+04 3.231898e+00
1.300100e+04 3.232097e+00
1.300200e+04 3.232296e+00
1.300300e+04 3.232495e+00
1.300400e+04 3.232694e+00
1.300500e+04 3.232893e+00
1.300600e+04 3.233092e+00
1.300700e+04 3.233290e+00
1.300800e+04 3.233489e+00
1.300900e+04 3.233688e+00
1.301000e+04 3.233887e+00
1.301100e+04 3.234086e+00
1.301200e+04 3.234285e+00
1.301300e+04 3.234484e+00
1.301400e+04 3.234683e+00
1.301500e+04 3.234882e+00
1.301600e+04 3.235080e+00
1.301700e+04 3.235279e+00
1.301800e+04 3.235478e+00
1.301900e+04 3.235677e+00
1.302000e+04 3.235876e+00
1.302100e+04 3.236075e+00
1.302200e+04 3.236274e+00
1.302300e+04 3.236473e+00
1.302400e+04 3.236672e+00
1.302500e+04 3.236870e+00
1.302600e+04 3.237069e+00
1.302700e+04 3.237268e+00
1.302800e+04 3.237467e+00
1.302900e+04 3.237666e+00
1.303000e+04 3.237865e+00
1.303100e+04 3.238064e+00
1.303200e+04 3.238263e+00
1.303300e+04 3.238462e+00
1.303400e+04 3.238660e+00
1.303500e+04 3.238859e+00
1.303600e+04 3.239058e+00
1.303700e+04 3.239257e+00
1.303800e+04 3.239456e+00
1.303900e+04 3.239655e+00
1.304000e+04 3.239854e+00
1.304100e+04 3.240053e+00
1.304200e+04 3.240252e+00
1.304300e+04 3.240450e+00
1.304400e+04 3.240649e+00
1.304500e+04 3.240848e+00
1.304600e+04 3.241047e+00
1.304700e+04 3.241246e+00
1.304800e+04 3.241445e+00
1.304900e+04 3.241644e+00
1.305000e+04 3.241843e+00
1.305100e+04 3.242042e+00
1.305200e+04 3.242240e+00
1.305300e+04 3.242439e+00
1.305400e+04 3.242638e+00
1.305500e+04 3.242837e+00
1.305600e+04 3.243036e+00
1.305700e+04 3.243235e+00
1.305800e+04 3.243434e+00
1.305900e+04 3.243633e+00
1.306000e+04 3.243831e+00
1.306100e+04 3.244030e+00
1.306200e+04 3.244229e+00
1.306300e+04 3.244428e+00
1.306400e+04 3.244627e+00
1.306500e+04 3.244826e+00
1.306600e+04 3.245025e+00
1.306700e+04 3.245224e+00
1.306800e+04 3.245423e+00
1.306900e+04 3.245621e+00
1.307000e+04 3.245820e+00
1.307100e+04 3.246019e+00
1.307200e+04 3.246218e+00
1.307300e+04 3.246417e+00
1.307400e+04 3.246616e+00
1.307500e+04 3.246815e+00
1.307600e+04 3.247014e+00
1.307700e+04 3.247213e+00
1.307800e+04 3.247411e+00
1.307900e+04 3.247610e+00
1.308000e+04 3.247809e+00
1.308100e+04 3.248008e+00
1.308200e+04 3.248207e+00
1.308300e+04 3.248406e+00
1.308400e+04 3.248605e+00
1.308500e+04 3.248804e+00
1.308600e+04 3.249003e+00
1.308700e+04 3.249201e+00
1.308800e+04 3.249400e+00
1.308900e+04 3.249599e+00
1.309000e+04 3.249798e+00
1.309100e+04 3.249997e+00
1.309200e+04 3.250196e+00
1.309300e+04 3.250395e+00
1.309400e+04 3.250594e+00
1.309500e+04 3.250793e+00
1.309600e+04 3.250991e+00
1.309700e+04 3.251190e+00
1.309800e+04 3.251389e+00
1.309900e+04 3.251588e+00
1.310000e+04 3.251787e+00
1.310100e+04 3.251986e+00
1.310200e+04 3.252185e+00
1.310300e+04 3.252384e+00
1.310400e+04 3.252583e+00
1.310500e+04 3.252781e+00
1.310600e+04 3.252980e+00
1.310700e+04 3.253179e+00
1.310800e+04 3.253378e+00
1.310900e+04 3.253577e+00
1.311000e+04 3.253776e+00
1.311100e+04 3.253975e+00
1.311200e+04 3.254174e+00
1.311300e+04 3.254373e+00
1.311400e+04 3.254571e+00
1.311500e+04 3.254770e+00
1.311600e+04 3.254969e+00
1.311700e+04 3.255168e+00
1.311800e+04 3.255367e+00
1.311900e+04 3.255566e+00
1.312000e+04 3.255765e+00
1.312100e+04 3.255964e+00
1.312200e+04 3.256163e+00
1.312300e+04 3.256361e+00
1.312400e+04 3.256560e+00
1.312500e+04 3.256759e+00
1.312600e+04 3.256958e+00
1.312700e+04 3.257157e+00
1.312800e+04 3.257356e+00
1.312900e+04 3.257555e+00
1.313000e+04 3.257754e+00
1.313100e+04 3.257953e+00
1.313200e+04 3.258151e+00
1.313300e+04 3.258350e+00
1.313400e+04 3.258549e+00
1.313500e+04 3.258748e+00
1.313600e+04 3.258947e+00
1.313700e+04 3.259146e+00
1.313800e+04 3.259345e+00
1.313900e+04 3.259544e+00
1.314000e+04 3.259743e+00
1.314100e+04 3.259941e+00
1.314200e+04 3.260140e+00
1.314300e+04 3.260339e+00
1.314400e+04 3.260538e+00
1.314500e+04 3.260737e+00
1.314600e+04 3.260936e+00
1.314700e+04 3.261135e+00
1.314800e+04 3.261334e+00
1.314900e+04 3.261532e+00
1.315000e+04 3.261731e+00
1.315100e+04 3.261930e+00
1.315200e+04 3.262129e+00
1.315300e+04 3.262328e+00
1.315400e+04 3.262527e+00
1.315500e+04 3.262726e+00
1.315600e+04 3.262925e+00
1.315700e+04 3.263124e+00
1.315800e+04 3.263322e+00
1.315900e+04 3.263521e+00
1.316000e+04 3.263720e+00
1.316100e+04 3.263919e+00
1.316200e+04 3.264118e+00
1.316300e+04 3.264317e+00
1.316400e+04 3.264516e+00
1.316500e+04 3.264715e+00
1.316600e+04 3.264914e+00
1.316700e+04 3.265112e+00
1.316800e+04 3.265311e+00
1.316900e+04 3.265510e+00
1.317000e+04 3.265709e+00
1.317100e+04 3.265908e+00
1.317200e+04 3.266107e+00
1.317300e+04 3.266306e+00
1.317400e+04 3.266505e+00
1.317500e+04 3.266704e+00
1.317600e+04 3.266902e+00
1.317700e+04 3.267101e+00
1.317800e+04 3.267300e+00
1.317900e+04 3.267499e+00
1.318000e+04 3.267698e+00
1.318100e+04 3.267897e+00
1.318200e+04 3.268096e+00
1.318300e+04 3.268295e+00
1.318400e+04 3.268494e+00
1.318500e+04 3.268692e+00
1.318600e+04 3.268891e+00
1.318700e+04 3.269090e+00
1.318800e+04 3.269289e+00
1.318900e+04 3.269488e+00
1.319000e+04 3.269687e+00
1.319100e+04 3.269886e+00
1.319200e+04 3.270085e+00
1.319300e+04 3.270284e+00
1.319400e+04 3.270482e+00
1.319500e+04 3.270681e+00
1.319600e+04 3.270880e+00
1.319700e+04 3.271079e+00
1.319800e+04 3.271278e+00
1.319900e+04 3.271477e+00
1.320000e+04 3.271676e+00
1.320100e+04 3.271875e+00
1.320200e+04 3.272074e+00
1.320300e+04 3.272272e+00
1.320400e+04 3.272471e+00
1.320500e+04 3.272670e+00
1.320600e+04 3.272869e+00
1.320700e+04 3.273068e+00
1.320800e+04 3.273267e+00
1.320900e+04 3.273466e+00
1.321000e+04 3.273665e+00
1.321100e+04 3.273864e+00
1.321200e+04 3.274062e+00
1.321300e+04 3.274261e+00
1.321400e+04 3.274460e+00
1.321500e+04 3.274659e+00
1.321600e+04 3.274858e+00
1.321700e+04 3.275057e+00
1.321800e+04 3.275256e+00
1.321900e+04 3.275455e+00
1.322000e+04 3.275654e+00
1.322100e+04 3.275852e+00
1.322200e+04 3.276051e+00
1.322300e+04 3.276250e+00
1.322400e+04 3.276449e+00
1.322500e+04 3.276648e+00
1.322600e+04 3.276847e+00
1.322700e+04 3.277046e+00
1.322800e+04 3.277245e+00
1.322900e+04 3.277443e+00
1.323000e+04 3.277642e+00
1.323100e+04 3.277841e+00
1.323200e+04 3.278040e+00
1.323300e+04 3.278239e+00
1.323400e+04 3.278438e+00
1.323500e+04 3.278637e+00
1.323600e+04 3.278836e+00
1.323700e+04 3.279035e+00
1.323800e+04 3.279233e+00
1.323900e+04 3.279432e+00
1.324000e+04 3.279631e+00
1.324100e+04 3.279830e+00
1.324200e+04 3.280029e+00
1.324300e+04 3.280228e+00
1.324400e+04 3.280427e+00
1.324500e+04 3.280626e+00
1.324600e+04 3.280825e+00
1.324700e+04 3.281023e+00
1.324800e+04 3.281222e+00
1.324900e+04 3.281421e+00
1.325000e+04 3.281620e+00
1.325100e+04 3.281819e+00
1.325200e+04 3.282018e+00
1.325300e+04 3.282217e+00
1.325400e+04 3.282416e+00
1.325500e+04 3.282615e+00
1.325600e+04 3.282813e+00
1.325700e+04 3.283012e+00
1.325800e+04 3.283211e+00
1.325900e+04 3.283410e+00
1.326000e+04 3.283609e+00
1.326100e+04 3.283808e+00
1.326200e+04 3.284007e+00
1.326300e+04 3.284206e+00
1.326400e+04 3.284405e+00
1.326500e+04 3.284603e+00
1.326600e+04 3.284802e+00
1.326700e+04 3.285001e+00
1.326800e+04 3.285200e+00
1.326900e+04 3.285399e+00
1.327000e+04 3.285598e+00
1.327100e+04 3.285797e+00
1.327200e+04 3.285996e+00
1.327300e+04 3.286195e+00
1.327400e+04 3.286393e+00
1.327500e+04 3.286592e+00
1.327600e+04 3.286791e+00
1.327700e+04 3.286990e+00
1.327800e+04 3.287189e+00
1.327900e+04 3.287388e+00
1.328000e+04 3.287587e+00
1.328100e+04 3.287786e+00
1.328200e+04 3.287985e+00
1.328300e+04 3.288183e+00
1.328400e+04 3.288382e+00
1.328500e+04 3.288581e+00
1.328600e+04 3.288780e+00
1.328700e+04 3.288979e+00
1.328800e+04 3.289178e+00
1.328900e+04 3.289377e+00
1.329000e+04 3.289576e+00
1.329100e+04 3.289775e+00
1.329200e+04 3.289973e+00
1.329300e+04 3.290172e+00
1.329400e+04 3.290371e+00
1.329500e+04 3.290570e+00
1.329600e+04 3.290769e+00
1.329700e+04 3.290968e+00
1.329800e+04 3.291167e+00
1.329900e+04 3.291366e+00
1.330000e+04 3.291565e+00
1.330100e+04 3.291763e+00
1.330200e+04 3.291962e+00
1.330300e+04 3.292161e+00
1.330400e+04 3.292360e+00
1.330500e+04 3.292559e+00
1.330600e+04 3.292758e+00
1.330700e+04 3.292957e+00
1.330800e+04 3.293156e+00
1.330900e+04 3.293355e+00
1.331000e+04 3.293553e+00
1.331100e+04 3.293752e+00
1.331200e+04 3.293951e+00
1.331300e+04 3.294150e+00
1.331400e+04 3.294349e+00
1.331500e+04 3.294548e+00
1.331600e+04 3.294747e+00
1.331700e+04 3.294946e+00
1.331800e+04 3.295144e+00
1.331900e+04 3.295343e+00
1.332000e+04 3.295542e+00
1.332100e+04 3.295741e+00
1.332200e+04 3.295940e+00
1.332300e+04 3.296139e+00
1.332400e+04 3.296338e+00
1.332500e+04 3.296537e+00
1.332600e+04 3.296736e+00
1.332700e+04 3.296934e+00
1.332800e+04 3.297133e+00
1.332900e+04 3.297332e+00
1.333000e+04 3.297531e+00
1.333100e+04 3.297730e+00
1.333200e+04 3.297929e+00
1.333300e+04 3.298128e+00
1.333400e+04 3.298327e+00
1.333500e+04 3.298526e+00
1.333600e+04 3.298724e+00
1.333700e+04 3.298923e+00
1.333800e+04 3.299122e+00
1.333900e+04 3.299321e+00
1.334000e+04 3.299520e+00
1.334100e+04 3.299719e+00
1.334200e+04 3.299918e+00
1.334300e+04 3.300117e+00
1.334400e+04 3.300316e+00
1.334500e+04 3.300514e+00
1.334600e+04 3.300713e+00
1.334700e+04 3.300912e+00
1.334800e+04 3.301111e+00
1.334900e+04 3.301310e+00
1.335000e+04 3.301509e+00
1.335100e+04 3.301708e+00
1.335200e+04 3.301907e+00
1.335300e+04 3.302106e+00
1.335400e+04 3.302304e+00
1.335500e+04 3.302503e+00
1.335600e+04 3.302702e+00
1.335700e+04 3.302901e+00
1.335800e+04 3.303100e+00
1.335900e+04 3.303299e+00
1.336000e+04 3.303498e+00
1.336100e+04 3.303697e+00
1.336200e+04 3.303896e+00
1.336300e+04 3.304094e+00
1.336400e+04 3.304293e+00
1.336500e+04 3.304492e+00
1.336600e+04 3.304691e+00
1.336700e+04 3.304890e+00
1.336800e+04 3.305089e+00
1.336900e+04 3.305288e+00
1.337000e+04 3.305487e+00
1.337100e+04 3.305686e+00
1.337200e+04 3.305884e+00
1.337300e+04 3.306083e+00
1.337400e+04 3.306282e+00
1.337500e+04 3.306481e+00
1.337600e+04 3.306680e+00
1.337700e+04 3.306879e+00
1.337800e+04 3.307078e+00
1.337900e+04 3.307277e+00
1.338000e+04 3.307476e+00
1.338100e+04 3.307674e+00
1.338200e+04 3.307873e+00
1.338300e+04 3.308072e+00
1.338400e+04 3.308271e+00
1.338500e+04 3.308470e+00
1.338600e+04 3.308669e+00
1.338700e+04 3.308868e+00
1.338800e+04 3.309067e+00
1.338900e+04 3.309266e+00
1.339000e+04 3.309464e+00
1.339100e+04 3.309663e+00
1.339200e+04 3.309862e+00
1.339300e+04 3.310061e+00
1.339400e+04 3.310260e+00
1.339500e+04 3.310459e+00
1.339600e+04 3.310658e+00
1.339700e+04 3.310857e+00
1.339800e+04 3.311055e+00
1.339900e+04 3.311254e+00
1.340000e+04 3.311453e+00
1.340100e+04 3.311652e+00
1.340200e+04 3.311851e+00
1.340300e+04 3.312050e+00
1.340400e+04 3.312249e+00
1.340500e+04 3.312448e+00
1.340600e+04 3.312647e+00
1.340700e+04 3.312845e+00
1.340800e+04 3.313044e+00
1.340900e+04 3.313243e+00
1.341000e+04 3.313442e+00
1.341100e+04 3.313641e+00
1.341200e+04 3.313840e+00
1.341300e+04 3.314039e+00
1.341400e+04 3.314238e+00
1.341500e+04 3.314437e+00
1.341600e+04 3.314635e+00
1.341700e+04 3.314834e+00
1.341800e+04 3.315033e+00
1.341900e+04 3.315232e+00
1.342000e+04 3.315431e+00
1.342100e+04 3.315630e+00
1.342200e+04 3.315829e+00
1.342300e+04 3.316028e+00
1.342400e+04 3.316227e+00
1.342500e+04 3.316425e+00
1.342600e+04 3.316624e+00
1.342700e+04 3.316823e+00
1.342800e+04 3.317022e+00
1.342900e+04 3.317221e+00
