# ell C_ell
9.999000e+03 2.533783e+00
1.000000e+04 2.533910e+00
1.000100e+04 2.534037e+00
1.000200e+04 2.534164e+00
1.000300e+04 2.534291e+00
1.000400e+04 2.534418e+00
1.000500e+04 2.534545e+00
1.000600e+04 2.534672e+00
1.000700e+04 2.534799e+00
1.000800e+04 2.534926e+00
1.000900e+04 2.535053e+00
1.001000e+04 2.535180e+00
1.001100e+04 2.535307e+00
1.001200e+04 2.535434e+00
1.001300e+04 2.535561e+00
1.001400e+04 2.535688e+00
1.001500e+04 2.535815e+00
1.001600e+04 2.535942e+00
1.001700e+04 2.536069e+00
1.001800e+04 2.536196e+00
1.001900e+04 2.536323e+00
1.002000e+04 2.536450e+00
1.002100e+04 2.536577e+00
1.002200e+04 2.536704e+00
1.002300e+04 2.536831e+00
1.002400e+04 2.536958e+00
1.002500e+04 2.537085e+00
1.002600e+04 2.537212e+00
1.002700e+04 2.537339e+00
1.002800e+04 2.537466e+00
1.002900e+04 2.537593e+00
1.003000e+04 2.537720e+00
1.003100e+04 2.537847e+00
1.003200e+04 2.537974e+00
1.003300e+04 2.538101e+00
1.003400e+04 2.538228e+00
1.003500e+04 2.538355e+00
1.003600e+04 2.538482e+00
1.003700e+04 2.538609e+00
1.003800e+04 2.538736e+00
1.003900e+04 2.538863e+00
1.004000e+04 2.538990e+00
1.004100e+04 2.539117e+00
1.004200e+04 2.539244e+00
1.004300e+04 2.539371e+00
1.004400e+04 2.539498e+00
1.004500e+04 2.539625e+00
1.004600e+04 2.539752e+00
1.004700e+04 2.539879e+00
1.004800e+04 2.540006e+00
1.004900e+04 2.540133e+00
1.005000e+04 2.540260e+00
1.005100e+04 2.540387e+00
1.005200e+04 2.540514e+00
1.005300e+04 2.540641e+00
1.005400e+04 2.540768e+00
1.005500e+04 2.540895e+00
1.005600e+04 2.541022e+00
1.005700e+04 2.541149e+00
1.005800e+04 2.541276e+00
1.005900e+04 2.541403e+00
1.006000e+04 2.541530e+00
1.006100e+04 2.541657e+00
1.006200e+04 2.541784e+00
1.006300e+04 2.541911e+00
1.006400e+04 2.542038e+00
1.006500e+04 2.542165e+00
1.006600e+04 2.542292e+00
1.006700e+04 2.542419e+00
1.006800e+04 2.542546e+00
1.006900e+04 2.542673e+00
1.007000e+04 2.542800e+00
1.007100e+04 2.542927e+00
1.007200e+04 2.543054e+00
1.007300e+04 2.543181e+00
1.007400e+04 2.543308e+00
1.007500e+04 2.543435e+00
1.007600e+04 2.543562e+00
1.007700e+04 2.543689e+00
1.007800e+04 2.543816e+00
1.007900e+04 2.543943e+00
1.008000e+04 2.544070e+00
1.008100e+04 2.544197e+00
1.008200e+04 2.544324e+00
1.008300e+04 2.544451e+00
1.008400e+04 2.544578e+00
1.008500e+04 2.544705e+00
1.008600e+04 2.544832e+00
1.008700e+04 2.544959e+00
1.008800e+04 2.545086e+00
1.008900e+04 2.545213e+00
1.009000e+04 2.545340e+00
1.009100e+04 2.545467e+00
1.009200e+04 2.545594e+00
1.009300e+04 2.545721e+00
1.009400e+04 2.545848e+00
1.009500e+04 2.545975e+00
1.009600e+04 2.546102e+00
1.009700e+04 2.546229e+00
1.009800e+04 2.546356e+00
1.009900e+04 2.546483e+00
1.010000e+04 2.546610e+00
1.010100e+04 2.546737e+00
1.010200e+04 2.546864e+00
1.010300e+04 2.546991e+00
1.010400e+04 2.547118e+00
1.010500e+04 2.547245e+00
1.010600e+04 2.547372e+00
1.010700e+04 2.547499e+00
1.010800e+04 2.547626e+00
1.010900e+04 2.547753e+00
1.011000e+04 2.547880e+00
1.011100e+04 2.548007e+00
1.011200e+04 2.548134e+00
1.011300e+04 2.548261e+00
1.011400e+04 2.548388e+00
1.011500e+04 2.548515e+00
1.011600e+04 2.548642e+00
1.011700e+04 2.548769e+00
1.011800e+04 2.548896e+00
1.011900e+04 2.549023e+00
1.012000e+04 2.549150e+00
1.012100e+04 2.549277e+00
1.012200e+04 2.549404e+00
1.012300e+04 2.549531e+00
1.012400e+04 2.549658e+00
1.012500e+04 2.549785e+00
1.012600e+04 2.549912e+00
1.012700e+04 2.550039e+00
1.012800e+04 2.550166e+00
1.012900e+04 2.550293e+00
1.013000e+04 2.550420e+00
1.013100e+04 2.550547e+00
1.013200e+04 2.550674e+00
1.013300e+04 2.550801e+00
1.013400e+04 2.550928e+00
1.013500e+04 2.551055e+00
1.013600e+04 2.551182e+00
1.013700e+04 2.551309e+00
1.013800e+04 2.551436e+00
1.013900e+04 2.551563e+00
1.014000e+04 2.551690e+00
1.014100e+04 2.551817e+00
1.014200e+04 2.551944e+00
1.014300e+04 2.552071e+00
