# ell C_ell
1.000000e+04 3.608540e+00
1.000100e+04 3.608250e+00
1.000200e+04 3.607960e+00
1.000300e+04 3.607670e+00
1.000400e+04 3.607380e+00
1.000500e+04 3.607090e+00
1.000600e+04 3.606800e+00
1.000700e+04 3.606510e+00
1.000800e+04 3.606220e+00
1.000900e+04 3.605930e+00
1.001000e+04 3.605640e+00
1.001100e+04 3.605350e+00
1.001200e+04 3.605060e+00
1.001300e+04 3.604770e+00
1.001400e+04 3.604480e+00
1.001500e+04 3.604190e+00
1.001600e+04 3.603900e+00
1.001700e+04 3.603610e+00
1.001800e+04 3.603320e+00
1.001900e+04 3.603030e+00
1.002000e+04 3.602740e+00
1.002100e+04 3.602450e+00
1.002200e+04 3.602160e+00
1.002300e+04 3.601870e+00
1.002400e+04 3.601580e+00
1.002500e+04 3.601290e+00
1.002600e+04 3.601000e+00
1.002700e+04 3.600710e+00
1.002800e+04 3.600420e+00
1.002900e+04 3.600130e+00
1.003000e+04 3.599840e+00
1.003100e+04 3.599550e+00
1.003200e+04 3.599260e+00
1.003300e+04 3.598970e+00
1.003400e+04 3.598680e+00
1.003500e+04 3.598390e+00
1.003600e+04 3.598100e+00
1.003700e+04 3.597810e+00
1.003800e+04 3.597520e+00
1.003900e+04 3.597230e+00
1.004000e+04 3.596940e+00
1.004100e+04 3.596650e+00
1.004200e+04 3.596360e+00
1.004300e+04 3.596070e+00
1.004400e+04 3.595780e+00
1.004500e+04 3.595490e+00
1.004600e+04 3.595200e+00
1.004700e+04 3.594910e+00
1.004800e+04 3.594620e+00
1.004900e+04 3.594330e+00
1.005000e+04 3.594040e+00
1.005100e+04 3.593750e+00
1.005200e+04 3.593460e+00
1.005300e+04 3.593170e+00
1.005400e+04 3.592880e+00
1.005500e+04 3.592590e+00
1.005600e+04 3.592300e+00
1.005700e+04 3.592010e+00
1.005800e+04 3.591720e+00
1.005900e+04 3.591430e+00
1.006000e+04 3.591140e+00
1.006100e+04 3.590850e+00
1.006200e+04 3.590560e+00
1.006300e+04 3.590270e+00
1.006400e+04 3.589980e+00
1.006500e+04 3.589690e+00
1.006600e+04 3.589400e+00
1.006700e+04 3.589110e+00
1.006800e+04 3.588820e+00
1.006900e+04 3.588530e+00
1.007000e+04 3.588240e+00
1.007100e+04 3.587950e+00
1.007200e+04 3.587660e+00
1.007300e+04 3.587370e+00
1.007400e+04 3.587080e+00
1.007500e+04 3.586790e+00
1.007600e+04 3.586500e+00
1.007700e+04 3.586210e+00
1.007800e+04 3.585920e+00
1.007900e+04 3.585630e+00
1.008000e+04 3.585340e+00
1.008100e+04 3.585050e+00
1.008200e+04 3.584760e+00
1.008300e+04 3.584470e+00
1.008400e+04 3.584180e+00
1.008500e+04 3.583890e+00
1.008600e+04 3.583600e+00
1.008700e+04 3.583310e+00
1.008800e+04 3.583020e+00
1.008900e+04 3.582730e+00
1.009000e+04 3.582440e+00
1.009100e+04 3.582150e+00
1.009200e+04 3.581860e+00
1.009300e+04 3.581570e+00
